id,x,y,z,scale,twist
0,-6.0,10.0,4.764706,1.2941177,83.19833
1,-5.0,10.0,5.5882354,1.4313726,-50.09697
2,-4.0,10.0,6.647059,1.6078432,-41.28183
3,-3.0,10.0,6.8235292,1.637255,-41.13443
4,-2.0,10.0,7.470588,1.745098,39.253204
5,-1.0,10.0,5.882353,1.4803922,32.412216
6,0.0,10.0,5.9411764,1.4901961,-88.5282
7,2.0,10.0,6.882353,1.6470588,55.538208
8,3.0,10.0,10.0,2.1666667,-85.079185
9,4.0,10.0,10.117647,2.1862745,-2.5421753
10,5.0,10.0,9.176471,2.0294118,-31.5419
11,6.0,10.0,6.4117646,1.5686275,77.97424
12,7.0,10.0,10.235294,2.2058825,-41.765488
13,8.0,10.0,7.2352943,1.7058823,-77.08179
14,9.0,10.0,6.0588236,1.5098039,-89.81563
15,-7.0,9.0,5.0588236,1.3431373,-89.81563
16,-3.0,9.0,5.647059,1.4411764,-58.58628
17,-2.0,9.0,5.8235297,1.4705882,-55.712517
18,-1.0,9.0,4.8823533,1.3137255,74.59892
19,0.0,9.0,7.0,1.6666666,-3.0569458
20,1.0,9.0,5.5882354,1.4313726,-16.24582
21,2.0,9.0,10.294118,2.2156863,67.699875
22,3.0,9.0,9.117647,2.019608,31.117783
23,4.0,9.0,13.6470585,2.77451,-25.642181
24,5.0,9.0,12.235294,2.5392158,-99.41117
25,6.0,9.0,14.058824,2.8431373,62.68724
26,7.0,9.0,10.117647,2.1862745,41.279083
27,8.0,9.0,9.0,2.0,-81.86046
28,9.0,9.0,6.4117646,1.5686275,-122.49271
29,-2.0,8.0,7.8235297,1.8039217,84.76248
30,-1.0,8.0,5.764706,1.4607843,-101.05169
31,0.0,8.0,9.705883,2.1176472,28.10904
32,2.0,8.0,14.0,2.8333333,-16.586563
33,3.0,8.0,14.705882,2.9509804,-27.792953
34,4.0,8.0,13.705882,2.7843137,-32.274704
35,5.0,8.0,13.117647,2.6862745,11.708618
36,6.0,8.0,14.588235,2.9313726,-12.289688
37,7.0,8.0,8.647059,1.9411765,-64.262886
38,8.0,8.0,6.647059,1.6078432,14.409622
39,9.0,8.0,6.470588,1.5784314,120.65073
40,-10.0,7.0,6.9411764,1.6568627,-12.289688
41,-9.0,7.0,6.8235292,1.637255,-64.262886
42,-7.0,7.0,5.9411764,1.362745,120.65073
43,-3.0,7.0,8.058824,1.8431373,-71.300766
44,-2.0,7.0,4.8235297,1.3039216,60.868225
45,-1.0,7.0,6.764706,1.627451,27.952026
46,0.0,7.0,5.3529415,1.3921568,61.136383
47,1.0,7.0,8.0,1.8333334,-70.42398
48,2.0,7.0,14.529411,2.9215686,-11.148392
49,3.0,7.0,12.588236,2.5980392,-99.7134
50,4.0,7.0,12.0,2.5,-93.50076
51,5.0,7.0,11.470589,2.4117646,-125.178604
52,6.0,7.0,8.0,1.8333334,34.09349
53,7.0,7.0,5.0588236,1.3431373,-115.59109
54,8.0,7.0,5.294118,1.382353,-76.28784
55,9.0,7.0,7.941177,1.8235295,-22.842072
56,-10.0,6.0,6.9411764,1.6568627,34.09349
57,-9.0,6.0,8.0,1.8333334,-115.59109
58,-8.0,6.0,7.1764708,1.6960784,-76.28784
59,-7.0,6.0,6.9411764,1.6568627,-22.842072
60,-6.0,6.0,5.1764708,1.2941177,-72.721115
61,-5.0,6.0,6.5882354,1.5980393,19.214813
62,-4.0,6.0,5.470588,1.4117647,-100.23907
63,-3.0,6.0,7.2352943,1.7058823,52.131332
64,-2.0,6.0,5.4117646,1.4019608,-58.182716
65,-1.0,6.0,5.8235297,1.4705882,-41.165863
66,1.0,6.0,7.2941175,1.7156863,-44.28067
67,2.0,6.0,10.705883,2.2843137,40.90898
68,3.0,6.0,15.0,3.0,7.359253
69,4.0,6.0,12.588236,2.5980392,72.40793
70,5.0,6.0,13.235294,2.7058823,-98.44337
71,6.0,6.0,11.0,2.3333335,74.10216
