id,x,y,z,scale,twist,type,colorGroup
0,-6.0,10.0,4.7647,0.9059,13.3395,0,0
1,-5.0,10.0,5.5882,0.8588,-88.3317,1,1
2,-4.0,10.0,6.6471,0.8693,0.1984,2,2
3,-3.0,10.0,6.8235,0.8732,29.3159,3,3
4,-2.0,10.0,7.4706,0.915,49.5278,4,4
5,-1.0,10.0,5.8824,0.7281,33.3657,5,0
6,0.0,10.0,5.9412,0.7451,-126.828,6,1
7,2.0,10.0,6.8824,1.098,42.0783,7,2
8,3.0,10.0,10.0,1.0833,38.7708,8,3
10,5.0,10.0,9.1765,0.8118,-94.751,10,0
11,6.0,10.0,6.4118,0.7843,-47.8354,11,1
12,7.0,10.0,10.2353,1.1765,-33.8771,12,2
13,8.0,10.0,7.2353,1.0235,35.5747,13,3
14,9.0,10.0,6.0588,0.9059,3.2483,14,4
15,-7.0,9.0,5.0588,0.5373,3.2483,15,0
16,-3.0,9.0,5.6471,0.7206,-30.9117,16,1
17,-2.0,9.0,5.8235,0.5882,-55.247,17,2
18,-1.0,9.0,4.8824,0.9196,33.734,18,3
19,0.0,9.0,7.0,0.8333,33.5099,19,4
20,1.0,9.0,5.5882,1.002,-69.5726,0,0
21,2.0,9.0,10.2941,1.3294,-51.9126,1,1
22,3.0,9.0,9.1176,1.0065,24.2891,2,2
23,4.0,9.0,13.6471,1.4797,-14.1139,3,3
24,5.0,9.0,12.2353,1.1797,68.9211,4,4
25,6.0,9.0,14.0588,1.0915,-26.7994,5,0
26,7.0,9.0,10.1176,1.0931,-8.063,6,1
27,8.0,9.0,9.0,1.3333,-42.1794,7,2
28,9.0,9.0,6.4118,0.7843,118.3615,8,3
30,-1.0,8.0,5.7647,0.5843,-1.7267,10,0
31,0.0,8.0,9.7059,1.0588,-35.9898,11,1
32,2.0,8.0,14.0,1.5111,-71.1768,12,2
33,3.0,8.0,14.7059,1.7706,-33.3157,13,3
34,4.0,8.0,13.7059,1.6706,-52.7759,14,4
35,5.0,8.0,13.1176,1.0745,-42.4451,15,0
36,6.0,8.0,14.5882,1.4657,-28.5926,16,1
37,7.0,8.0,8.6471,0.7765,-8.8887,17,2
38,8.0,8.0,6.6471,1.1255,69.3352,18,3
39,9.0,8.0,6.4706,0.7892,-87.9074,19,4
40,-10.0,7.0,6.9412,1.1598,-28.5926,0,0
41,-9.0,7.0,6.8235,0.9824,-8.8887,1,1
42,-7.0,7.0,5.9412,0.7876,-87.9074,2,2
43,-3.0,7.0,8.0588,0.983,-38.6251,3,3
44,-2.0,7.0,4.8235,0.768,53.0985,4,4
45,-1.0,7.0,6.7647,0.7673,47.1656,5,0
46,0.0,7.0,5.3529,0.6961,-45.6971,6,1
47,1.0,7.0,8.0,1.2222,63.7559,7,2
48,2.0,7.0,14.5294,1.4608,-54.991,8,3
50,4.0,7.0,12.0,1.0,21.3047,10,0
51,5.0,7.0,11.4706,1.2059,-85.3393,11,1
52,6.0,7.0,8.0,0.9778,52.489,12,2
53,7.0,7.0,5.0588,0.8059,109.468,13,3
54,8.0,7.0,5.2941,0.8294,68.6527,14,4
55,9.0,7.0,7.9412,0.7294,-125.2396,15,0
56,-10.0,6.0,6.9412,0.8284,52.489,16,1
57,-9.0,6.0,8.0,0.7333,109.468,17,2
58,-8.0,6.0,7.1765,1.1873,68.6527,18,3
59,-7.0,6.0,6.9412,0.8284,-125.2396,19,4
60,-6.0,6.0,5.1765,0.9059,-88.2184,0,0
61,-5.0,6.0,6.5882,0.9588,-69.4099,1,1
62,-4.0,6.0,5.4706,0.8039,84.5346,2,2
63,-3.0,6.0,7.2353,0.9098,8.5531,3,3
64,-2.0,6.0,5.4118,0.8007,89.6895,4,4
65,-1.0,6.0,5.8235,0.7255,-2.2588,5,0
66,1.0,6.0,7.2941,0.8578,-13.8226,6,1
67,2.0,6.0,10.7059,1.5229,-8.8876,7,2
68,3.0,6.0,15.0,1.5,83.0877,8,3
70,5.0,6.0,13.2353,1.0824,4.1191,10,0
71,6.0,6.0,11.0,1.1667,-118.4621,11,1
72,7.0,6.0,6.2353,0.8209,28.1297,12,2
73,8.0,6.0,9.2353,1.2235,-28.9826,13,3
74,9.0,6.0,8.6471,1.1647,-26.0724,14,4
75,-10.0,5.0,8.0,0.7333,-118.4621,15,0
76,-9.0,5.0,6.7059,0.8088,28.1297,16,1
77,-8.0,5.0,10.5882,0.9059,-28.9826,17,2
78,-7.0,5.0,13.0588,1.8735,-26.0724,18,3
79,-6.0,5.0,5.2941,0.6912,-57.6202,19,4
80,-5.0,5.0,5.5294,0.9951,-50.4314,0,0
81,-4.0,5.0,6.1176,0.9118,59.3173,1,1
82,-3.0,5.0,7.1176,0.8954,34.6402,2,2
83,1.0,5.0,6.0,0.8,-60.6784,3,3
84,2.0,5.0,5.0588,0.781,-41.1875,4,4
85,3.0,5.0,13.6471,1.0732,-53.2687,5,0
86,4.0,5.0,14.8235,1.4853,46.2567,6,1
87,5.0,5.0,13.1765,1.7974,-58.5447,7,2
88,6.0,5.0,6.6471,0.8039,-139.8834,8,3
90,8.0,5.0,13.6471,1.1098,-41.2445,10,0
91,9.0,5.0,9.7059,1.0588,-69.6175,11,1
92,-10.0,4.0,8.5294,1.0248,-139.8834,12,2
93,-9.0,4.0,6.5294,0.9529,56.4447,13,3
94,-8.0,4.0,11.5882,1.4588,-41.2445,14,4
95,-7.0,4.0,13.5882,1.1059,-69.6175,15,0
96,-6.0,4.0,12.3529,1.2794,51.0155,16,1
97,-5.0,4.0,8.8235,0.7882,-120.357,17,2
98,-4.0,4.0,6.5294,1.1118,-42.6874,18,3
99,-3.0,4.0,6.0588,0.7549,-43.4356,19,4
100,4.0,4.0,6.6471,1.1255,-58.1378,0,0
101,5.0,4.0,13.1765,1.6176,32.6926,1,1
102,6.0,4.0,12.4118,1.1895,121.5407,2,2
103,7.0,4.0,11.8235,1.3176,-41.2595,3,3
104,8.0,4.0,5.8824,0.8268,63.5999,4,4
105,9.0,4.0,8.5882,0.8484,-15.8005,5,0
106,-8.0,3.0,12.9412,1.3284,63.5999,6,1
107,-7.0,3.0,14.7059,1.9673,-15.8005,7,2
108,-6.0,3.0,9.6471,1.0539,-5.7594,8,3
110,-4.0,3.0,12.9412,1.0627,-0.9288,10,0
